	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)
VARIABLES	TotalDeaths_match_only	TotalDeaths_match_only	inflate	TotalDeaths_match_only	TotalDeaths_match_only	inflate	/	TotalDeaths_match_only	TotalDeaths_match_only	inflate	TotalDeaths_match_only	TotalDeaths_match_only	inflate	/	TotalDeaths_match_only	TotalDeaths_match_only	inflate	TotalDeaths_match_only	TotalDeaths_match_only	inflate	/	TotalDeaths_match_only	TotalDeaths_match_only	inflate	TotalDeaths_match_only	TotalDeaths_match_only	inflate	/	TotalDeaths_match_only	TotalDeaths_match_only	inflate	TotalDeaths_match_only	TotalDeaths_match_only	inflate	/	TotalDeaths_match_only	TotalDeaths_match_only	inflate	TotalDeaths_match_only	TotalDeaths_match_only	inflate	/	TotalDeaths_match_only	TotalDeaths_match_only	inflate	TotalDeaths_match_only	TotalDeaths_match_only	inflate	/	TotalDeaths_match_only	TotalDeaths_match_only	inflate	TotalDeaths_match_only	TotalDeaths_match_only	inflate	/
																																																								
log_gdp_pc	-1.039	-0.841*		-1.697**	-0.944*			-1.469	-1.481*		-1.640*	-1.381*			-1.012	-0.817**		-1.379*	-0.830**			-1.456	-1.363		-1.431*	-1.327**			-1.692	-0.869		-2.128***	-0.666			-2.299	-1.913		-2.750***	-1.382*			-0.946	-0.638*		-2.067***	-0.632			-1.167	-1.643**		-2.737***	-1.285*		
	(0.886)	(0.501)		(0.802)	(0.493)			(1.019)	(0.894)		(0.915)	(0.706)			(0.924)	(0.397)		(0.742)	(0.388)			(0.996)	(0.831)		(0.855)	(0.665)			(1.847)	(0.940)		(0.751)	(0.523)			(2.609)	(1.412)		(0.821)	(0.713)			(0.933)	(0.346)		(0.788)	(0.399)			(1.466)	(0.819)		(0.851)	(0.721)		
log_pop	0.714	0.666**		1.058**	0.672**			1.005*	1.113**		1.095*	1.001**			0.700	0.649***		0.860*	0.589***			1.001*	1.049**		0.978*	0.972**			1.096	0.665		1.189***	0.434*			1.539	1.386*		1.660***	0.950**			0.641	0.524***		1.159**	0.404**			0.811	1.198***		1.653***	0.886*		
	(0.489)	(0.287)		(0.473)	(0.281)			(0.598)	(0.516)		(0.562)	(0.497)			(0.494)	(0.220)		(0.447)	(0.209)			(0.569)	(0.474)		(0.531)	(0.480)			(1.032)	(0.543)		(0.431)	(0.246)			(1.508)	(0.811)		(0.465)	(0.458)			(0.493)	(0.185)		(0.456)	(0.185)			(0.857)	(0.458)		(0.489)	(0.487)		
pat_stock85_both_hvi_t1	-2.182	-1.733		-2.863**	-2.123			-1.749	-1.351		-2.682**	-1.345			-2.246	-1.668		-2.320*	-1.730			-1.849	-1.375		-2.495**	-1.215			-3.331	-1.902		-1.890*	-1.813			-4.105	-2.493		-2.690*	-1.526			-3.287	-1.854		-1.762	-1.334			-2.992	-2.020		-2.635	-1.010		
	(2.867)	(1.953)		(1.254)	(1.613)			(2.485)	(2.192)		(1.207)	(1.354)			(2.855)	(1.737)		(1.251)	(1.600)			(2.490)	(2.074)		(1.172)	(1.333)			(4.906)	(2.193)		(1.122)	(1.571)			(5.988)	(3.238)		(1.439)	(1.489)			(3.930)	(2.286)		(1.313)	(1.570)			(5.893)	(3.343)		(1.689)	(1.310)		
pop34_d5	0.0989*	0.0768*		0.162***	0.0776**			0.0822*	0.0720*		0.132***	0.0662*																																												
	(0.0514)	(0.0440)		(0.0523)	(0.0313)			(0.0471)	(0.0399)		(0.0485)	(0.0351)																																												
