	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)
VARIABLES	AUS deaths	CAN deaths	CHN deaths	DOM deaths	HND deaths	JPN deaths	KOR deaths	MEX deaths	NIC deaths	NZL deaths	PHL deaths	SLV deaths	USA deaths	VNM deaths	AUS damages	CAN damages	CHN damages	DOM damages	HND damages	JPN damages	KOR damages	MEX damages	NIC damages	NZL damages	PHL damages	SLV damages	USA damages	VNM damages
																												
log_gdp_pc	-1.442*	-1.375*	-1.144	-1.395*	-1.338*	-1.180	-1.041*	-1.061	-1.243*	-1.416*	-1.894**	-1.537**	-1.223	-1.809*	1.233	0.631	-2.934	1.131	1.067	0.596	0.888	1.583	0.988	0.809	0.331	0.793	-2.825	0.306
	(0.741)	(0.723)	(2.233)	(0.756)	(0.697)	(0.825)	(0.564)	(0.716)	(0.655)	(0.727)	(0.896)	(0.700)	(1.155)	(0.969)	(1.380)	(1.170)	(2.901)	(1.483)	(1.334)	(2.231)	(1.130)	(1.078)	(1.297)	(1.324)	(1.979)	(1.325)	(2.561)	(1.504)
log_pop	0.780*	0.863**	0.727	0.867*	0.849**	0.756	0.614*	0.688	0.786*	0.883**	1.097*	0.955**	0.784	1.113*	-0.345	0.297	2.561	0.0774	0.0843	0.423	0.0777	-0.230	0.111	0.212	0.463	0.219	2.288	0.525
	(0.429)	(0.431)	(1.350)	(0.459)	(0.423)	(0.511)	(0.320)	(0.434)	(0.403)	(0.439)	(0.574)	(0.427)	(0.660)	(0.597)	(1.531)	(0.677)	(1.780)	(0.836)	(0.754)	(1.422)	(0.620)	(0.611)	(0.733)	(0.764)	(1.192)	(0.764)	(1.567)	(0.899)
pat_stock85_both_hvi_t1	-2.377*	-2.362*	-2.723**	-2.043	-2.208*	-2.559	-2.092**	-2.407	-2.392*	-2.329*	-0.595	-2.309**	-2.939	-1.663	-3.230*	-3.343*	-7.244**	-3.475	-3.767**	-3.518	-3.000*	-3.661*	-4.198**	-3.614**	-2.119	-3.680**	2.563	-3.321
	(1.352)	(1.252)	(1.179)	(1.302)	(1.213)	(1.637)	(1.065)	(1.510)	(1.379)	(1.219)	(1.888)	(1.174)	(2.514)	(1.187)	(1.949)	(1.727)	(3.081)	(2.288)	(1.618)	(2.181)	(1.784)	(2.195)	(1.748)	(1.734)	(2.163)	(1.844)	(3.627)	(2.708)
exp_stock_deaths_t1	-0.548***	-0.589***	-0.565***	-0.581***	-0.508***	-0.601***	-0.579***	-0.555***	-0.589***	-0.580***	-1.212***	-0.601***	-0.555***	-0.569***	-0.0762	-0.169	-0.133	-0.127	-0.119	-0.143	-0.166	-0.0981	-0.251	-0.150	-0.801	-0.172	-0.114	-0.139
	(0.145)	(0.157)	(0.214)	(0.157)	(0.156)	(0.160)	(0.218)	(0.147)	(0.163)	(0.164)	(0.220)	(0.169)	(0.150)	(0.162)	(0.160)	(0.149)	(0.227)	(0.160)	(0.184)	(0.186)	(0.173)	(0.149)	(0.183)	(0.168)	(0.776)	(0.192)	(0.191)	(0.153)
pop3464_d5	0.115***	0.112***	0.184***	0.112**	0.113***	0.116*	0.0852**	0.115***	0.115***	0.112***	0.106**	0.115***	0.111**	0.116***														
	(0.0444)	(0.0433)	(0.0462)	(0.0446)	(0.0413)	(0.0613)	(0.0347)	(0.0437)	(0.0440)	(0.0424)	(0.0461)	(0.0431)	(0.0520)	(0.0430)														
pop96_d5	0.368***	0.414**	0.192	0.388**	0.333**	0.465**	0.371*	0.401**	0.415**	0.380**	0.433***	0.393**	0.334*	0.369**														
	(0.137)	(0.180)	(0.150)	(0.178)	(0.164)	(0.231)	(0.218)	(0.169)	(0.182)	(0.174)	(0.113)	(0.176)	(0.173)	(0.178)														
assets3464															0.336*	0.343**	0.407**	0.369**	0.380**	0.667	0.277**	0.383**	0.403**	0.385**	0.394*	0.389**	0.494	0.405*
															(0.199)	(0.138)	(0.181)	(0.183)	(0.181)	(1.006)	(0.129)	(0.188)	(0.181)	(0.179)	(0.210)	(0.181)	(0.692)	(0.217)
assets96															5.470	5.854**	3.878	4.389	4.138	6.804	4.826***	4.012	4.325	4.288	3.799	4.310	2.677	3.182
															(3.353)	(2.451)	(4.163)	(3.806)	(3.626)	(13.92)	(1.216)	(3.801)	(3.266)	(3.173)	(3.634)	(3.212)	(7.243)	(4.445)
																												
Observations	375	375	375	375	375	375	375	375	375	375	375	375	375	375	375	375	375	375	375	375	375	375	375	375	375	375	375	375
Robust standard errors in parentheses																												
*** p<0.01, ** p<0.05, * p<0.1																												
