year,IBTrACS_ID,TC_name,NatCatSERVICE_ID,genesis_basin,countries_affected,ISO3,v_land_SI,v_land_kn,pop_34kn,pop_64kn,pop_96kn,assets_34kn,assets_64kn,assets_96kn,pop_34kn_5km,pop_64kn_5km,pop_96kn_5km,assets_34kn_5km,assets_64kn_5km,assets_96kn_5km,pop_34kn_15km,pop_64kn_15km,pop_96kn_15km,assets_34kn_15km,assets_64kn_15km,assets_96kn_15km,pop_34kn_30km,pop_64kn_30km,pop_96kn_30km,assets_34kn_30km,assets_64kn_30km,assets_96kn_30km
1950,1950166N14262,UNNAMED,,EP,single,MEX,47.3,92.0,1435042.1884026863,144514.76086213192,0.0,7167763707.844536,559673167.3300132,0.0,151172.58639671694,25758.24550343658,0.0,494282556.8143427,126335532.9650017,0.0,562774.9474267529,121981.09141328392,0.0,1814476346.6522574,435707248.6359832,0.0,763715.0876030885,142266.3426950169,0.0,2760891014.508143,539215028.2562932,0.0
1950,1950174N17126,ELSIE,,WP,multi,JPN,51.7,100.6,8460127.862152968,777936.3595648377,19704.633460998797,71673888672.13637,7370407207.308719,233596698.12726,3001922.3712434038,659113.89257756,13624.40246582,25940358604.21833,6015653517.5848,164535939.45250002,6533814.2586371675,777936.3595648377,19704.633460998797,53343478314.166084,7370407207.308719,233596698.12726,8230619.677582498,777936.3595648377,19704.633460998797,68542000921.989075,7370407207.308719,233596698.12726
1950,1950174N17126,ELSIE,,WP,multi,KOR,19.5,37.8,405469.4409447134,0.0,0.0,868932456.4492828,0.0,0.0,343743.303894105,0.0,0.0,702100058.0323,0.0,0.0,405469.4409447134,0.0,0.0,868932456.4492828,0.0,0.0,405469.4409447134,0.0,0.0,868932456.4492828,0.0,0.0
1950,1950185N18254,UNNAMED,,EP,single,MEX,28.8,55.9,194385.86168409945,0.0,0.0,914590107.2612436,0.0,0.0,43849.36531343887,0.0,0.0,156616327.87638712,0.0,0.0,149623.64622044755,0.0,0.0,493864288.7027981,0.0,0.0,168195.96700024753,0.0,0.0,651257442.6328335,0.0,0.0
1950,1950191N12149,UNNAMED,,WP,single,JPN,26.0,50.5,149523.60101633606,0.0,0.0,1962303214.0110636,0.0,0.0,35640.81418133912,0.0,0.0,437240582.74129504,0.0,0.0,108022.51635579758,0.0,0.0,1206837941.4215214,0.0,0.0,135012.92380648546,0.0,0.0,1647435335.0609436,0.0,0.0
1950,1950196N22144,GRACE,,WP,single,JPN,36.9,71.8,2186220.6689506783,38493.571235682,0.0,17845135781.640133,376031801.61672,0.0,1012422.719665385,29370.96777347,0.0,6935114691.490657,280854500.2701,0.0,1810424.2424937703,38493.571235682,0.0,14206731605.06646,376031801.61672,0.0,2168526.1162162777,38493.571235682,0.0,17674736988.73413,376031801.61672,0.0
1950,1950204N22123,UNNAMED,,WP,multi,CHN,19.5,37.9,98879.24121096301,0.0,0.0,141894924.37456,0.0,0.0,85304.283325218,0.0,0.0,114478704.00745,0.0,0.0,98879.24121096301,0.0,0.0,141894924.37456,0.0,0.0,98879.24121096301,0.0,0.0,141894924.37456,0.0,0.0
1950,1950204N22123,UNNAMED,,WP,multi,JPN,19.4,37.6,84.00478170675909,0.0,0.0,2973396.065510665,0.0,0.0,84.00478170675909,0.0,0.0,2973396.065510665,0.0,0.0,84.00478170675909,0.0,0.0,2973396.065510665,0.0,0.0,84.00478170675909,0.0,0.0,2973396.065510665,0.0,0.0
1950,1950204N22123,UNNAMED,,WP,multi,TWN,20.8,40.3,89155.105316006,0.0,0.0,1044648009.12242,0.0,0.0,33344.74563593,0.0,0.0,425624546.7816,0.0,0.0,89155.105316006,0.0,0.0,1044648009.12242,0.0,0.0,89155.105316006,0.0,0.0,1044648009.12242,0.0,0.0
1950,1950205N21131,UNNAMED,,WP,single,JPN,26.0,50.6,65695.46699611782,0.0,0.0,534596606.71278703,0.0,0.0,52641.40649305412,0.0,0.0,391761143.4696485,0.0,0.0,65695.46699611782,0.0,0.0,534596606.71278703,0.0,0.0,65695.46699611782,0.0,0.0,534596606.71278703,0.0,0.0
