year,IBTrACS_ID,ISO3,pop_34kn,pop_64kn,pop_96kn,assets_34kn,assets_64kn,assets_96kn,pop_34kn_5km,pop_64kn_5km,pop_96kn_5km,assets_34kn_5km,assets_64kn_5km,assets_96kn_5km,pop_34kn_15km,pop_64kn_15km,pop_96kn_15km,assets_34kn_15km,assets_64kn_15km,assets_96kn_15km,pop_34kn_30km,pop_64kn_30km,pop_96kn_30km,assets_34kn_30km,assets_64kn_30km,assets_96kn_30km
1950,1950166N14262,MEX,1435042.1884026863,144514.76086213192,0,7167763707.844536,559673167.3300132,0,151172.58639671694,25758.24550343658,0,494282556.8143427,126335532.9650017,0,562774.9474267529,121981.09141328392,0,1814476346.6522577,435707248.63598317,0,763715.0876030885,142266.3426950169,0,2760891014.508143,539215028.2562932,0
1950,1950174N17126,JPN,8460127.862152968,777936.3595648377,19704.6334609988,71673888672.13638,7370407207.308719,233596698.12726,3001922.3712434033,659113.89257756,13624.40246582,25940358604.21833,6015653517.5848,164535939.45250002,6533814.258637168,777936.3595648377,19704.6334609988,53343478314.166084,7370407207.308719,233596698.12726,8230619.677582497,777936.3595648377,19704.6334609988,68542000921.98908,7370407207.308719,233596698.12726
1950,1950174N17126,KOR,405469.4409447134,0,0,868932456.4492828,0,0,343743.303894105,0,0,702100058.0323,0,0,405469.4409447134,0,0,868932456.4492828,0,0,405469.4409447134,0,0,868932456.4492828,0,0
1950,1950185N18254,MEX,194385.86168409945,0,0,914590107.2612436,0,0,43849.365313438866,0,0,156616327.87638712,0,0,149623.64622044755,0,0,493864288.7027982,0,0,168195.96700024753,0,0,651257442.6328335,0,0
1950,1950191N12149,JPN,149523.60101633603,0,0,1962303214.0110633,0,0,35640.81418133912,0,0,437240582.741295,0,0,108022.51635579758,0,0,1206837941.4215214,0,0,135012.92380648543,0,0,1647435335.0609434,0,0
1950,1950196N22144,JPN,2186220.668950678,38493.571235682,0,17845135781.64013,376031801.61672,0,1012422.719665385,29370.96777347,0,6935114691.490657,280854500.2701,0,1810424.2424937703,38493.571235682,0,14206731605.066458,376031801.61672,0,2168526.1162162777,38493.571235682,0,17674736988.73413,376031801.61672,0
1950,1950204N22123,CHN,98879.241210963,0,0,141894924.37456,0,0,85304.283325218,0,0,114478704.00745,0,0,98879.241210963,0,0,141894924.37456,0,0,98879.241210963,0,0,141894924.37456,0,0
1950,1950204N22123,JPN,84.00478170675909,0,0,2973396.0655106655,0,0,84.00478170675909,0,0,2973396.0655106655,0,0,84.00478170675909,0,0,2973396.0655106655,0,0,84.00478170675909,0,0,2973396.0655106655,0,0
1950,1950204N22123,TWN,89155.105316006,0,0,1044648009.12242,0,0,33344.74563593,0,0,425624546.7816,0,0,89155.105316006,0,0,1044648009.12242,0,0,89155.105316006,0,0,1044648009.12242,0,0
1950,1950205N21131,JPN,65695.46699611783,0,0,534596606.712787,0,0,52641.40649305412,0,0,391761143.46964854,0,0,65695.46699611783,0,0,534596606.712787,0,0,65695.46699611783,0,0,534596606.712787,0,0
1950,1950207N21115,CHN,5721529.521959082,0,0,7406486739.644963,0,0,924237.0489266003,0,0,1184213516.9520864,0,0,2149157.137926242,0,0,2733722835.8851037,0,0,3328702.075425792,0,0,4169946174.7092037,0,0
1950,1950213N24139,JPN,3611645.3511668714,0,0,32065031455.868294,0,0,408302.406066793,0,0,3361688856.5429,0,0,1469473.1429823644,0,0,11067806387.620907,0,0,1780870.2409075743,0,0,14704767067.012398,0,0
1950,1950213N25128,JPN,65695.46699611783,0,0,534596606.712787,0,0,52641.40649305412,0,0,391761143.46964854,0,0,65695.46699611783,0,0,534596606.712787,0,0,65695.46699611783,0,0,534596606.712787,0,0
1950,1950213N25128,TWN,532884.4856702123,0,0,6004210647.966857,0,0,92992.32589718,0,0,921896669.1804,0,0,255828.4153901102,0,0,2686161080.244467,0,0,451883.4108334251,0,0,4594495277.095607,0,0
1950,1950214N21139,JPN,723514.1543669779,0,0,9241577411.482368,0,0,719291.026732929,0,0,9111852153.73872,0,0,723514.1543669779,0,0,9241577411.482368,0,0,723514.1543669779,0,0,9241577411.482368,0,0
1950,1950216N26142,JPN,3073915.3725154432,0,0,27985355594.49915,0,0,885263.652343862,0,0,7699360906.61914,0,0,2358753.556702022,0,0,18751211486.50524,0,0,2762466.3749568495,0,0,23708182633.78675,0,0
